step,loss,learning_rate,cross_entropy,train_accuracy,global_step_per_sec
0,2.68454,0.1,2.47298,0.0625,0
367,2.00987,0.1,1.8006,0.2875,9.53003
758,1.62925,0.1,1.43296,0.320312,9.28769
1148,2.08133,0.1,1.89413,0.353618,9.35777
1539,1.69729,0.1,1.51323,0.371528,9.45974
1929,1.62316,0.1,1.43792,0.382353,9.28408
2321,1.53198,0.1,1.34133,0.397321,9.37228
2711,1.34593,0.1,1.14582,0.4125,9.27991
3102,1.11984,0.1,0.911093,0.433114,9.24605
3493,1.69463,0.1,1.47691,0.449038,9.35346
3885,1.1818,0.1,0.954837,0.463185,9.27928
4277,1.23968,0.1,1.00232,0.476953,9.33171
4670,1.0249,0.1,0.777572,0.488506,9.20358
5064,0.987236,0.1,0.731668,0.506908,9.32299
5456,1.03922,0.1,0.776545,0.523362,9.27863
5852,1.304,0.1,1.03461,0.532955,9.2997
6244,1.07715,0.1,0.79905,0.548464,9.17068
6635,1.02713,0.1,0.746489,0.558284,9.27693
7028,1.15737,0.1,0.871339,0.566729,9.29296
7420,0.700653,0.1,0.408791,0.576241,9.26259
7814,1.04228,0.1,0.745421,0.585361,9.19869
8207,1.15619,0.1,0.854779,0.592548,9.24544
8601,1.00991,0.1,0.703123,0.601753,9.30567
8995,1.04825,0.1,0.737288,0.609557,9.01793
9391,1.27141,0.1,0.957113,0.614351,9.22562
9784,1.22238,0.1,0.903512,0.618817,9.31771
10179,0.813827,0.1,0.489682,0.623397,9.08025
10575,0.835994,0.1,0.510189,0.627011,9.33007
10969,0.761292,0.1,0.432905,0.632177,9.25437
11369,0.948063,0.1,0.617285,0.636089,9.21342
11764,0.906938,0.1,0.574967,0.640417,9.33181
12158,0.815259,0.1,0.481221,0.644531,9.17963
12551,0.919421,0.1,0.582892,0.647917,9.32205
12943,0.817416,0.1,0.478294,0.650958,9.25635
13336,0.92607,0.1,0.584915,0.655143,9.21614
13729,1.11207,0.1,0.766654,0.658039,9.33457
14124,1.05504,0.1,0.709301,0.661826,9.1562
14516,0.850617,0.1,0.502779,0.665308,9.23955
14911,0.841691,0.1,0.494451,0.669124,9.18174
15302,1.55786,0.1,1.20922,0.671768,9.25207
15695,0.976692,0.1,0.624905,0.675104,9.16173
16088,1.27073,0.1,0.917433,0.677219,9.18847
16482,0.930878,0.1,0.578719,0.680556,9.2168
16876,0.733798,0.1,0.380923,0.682856,9.11809
17269,0.738084,0.1,0.383344,0.685227,9.24421
17661,0.762558,0.1,0.406016,0.687685,9.26033
18053,1.09503,0.1,0.738146,0.689758,9.07834
18445,0.855999,0.1,0.498901,0.692192,9.29439
18837,0.991715,0.1,0.634153,0.693473,9.333
19230,0.961941,0.1,0.604228,0.694699,9.25619
19623,1.02448,0.1,0.665062,0.696892,9.21714
20017,0.824365,0.1,0.461406,0.698161,9.19344
20409,0.816559,0.1,0.454395,0.699857,9.14611
20801,0.921251,0.1,0.556573,0.701676,9.27225
21193,0.925987,0.1,0.561073,0.703624,9.19512
21586,0.870107,0.1,0.504289,0.704819,9.19775
21978,0.82086,0.1,0.456204,0.706457,9.33505
22373,1.07448,0.1,0.707279,0.707558,9.23297
22766,1.05902,0.1,0.691401,0.709189,9.22226
